17, 6
1, 1
Wall, Wall, Wall, Wall, Wall, Wall, 
Wall, Start, Normal, Normal, Normal, Wall, 
Wall, Wall, Wall, Wall, Normal, Wall, 
Wall, Wall, Wall, Wall, Normal, Wall, 
Wall, Wall, Wall, Wall, Normal, Wall, 
Wall, Wall, Wall, Wall, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Wall, Wall, Wall, Wall, 
Wall, Normal, Wall, Wall, Wall, Wall, 
Wall, Normal, Wall, Wall, Wall, Wall, 
Wall, Normal, Wall, Wall, Wall, Wall, 
Wall, Normal, Normal, Normal, Normal, Wall, 
Wall, Wall, Wall, Wall, Normal, Wall, 
Wall, Wall, Wall, Wall, Normal, Wall, 
Wall, Wall, Wall, Wall, Normal, Wall, 
Wall, Wall, Wall, Wall, Goal, Wall, 
Wall, Wall, Wall, Wall, Wall, Wall, 
