18, 18
1, 1
Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, 
Wall, Start, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Normal, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Breadcrumb, Breadcrumb, Wall, 
Wall, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Normal, Goal, Wall, 
Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, Wall, 
